,Name,Symbol,Date,Watching,Data2018,Rate,Price,Volume,FullyDilluted,CirculatingSupply
2857,SalPay,SAL,2018-06-11T00:00:00.000Z,110,True,,,,,
2858,Couchain,COU,2018-06-11T00:00:00.000Z,673,True,2.0282044754559796,,,,
2859,XMax,XMX,2018-06-14T00:00:00.000Z,4314,True,0.39877794293782354,,,,
2861,GoChain,GO,2018-06-13T00:00:00.000Z,13053,True,0.7272259406367715,,,,
2862,Smartshare,SSP,2018-06-14T00:00:00.000Z,1808,True,0.16354012846987598,,,,
2863,HOLD,HOLD,2018-08-13T00:00:00.000Z,977,True,3.9104314349448845,,,,
2865,Trittium,TRTT,2018-07-10T00:00:00.000Z,1549,True,3.0755250247060344,,,,
2866,Sentinel Protocol,UPP,2018-06-18T00:00:00.000Z,3593,True,2.7792343841826104,,,,
2867,Bittwatt,BWT,2018-06-20T00:00:00.000Z,1041,True,0.16116632822512772,,,,
2868,Constellation,DAG,2018-06-20T00:00:00.000Z,27970,True,3.2859587892308277,,,,
2869,Merculet,MVP,2018-06-20T00:00:00.000Z,2734,True,0.2662219434138488,,,,
2870,FantasyGold,FGC,2018-06-20T00:00:00.000Z,1241,True,0.014304955317123676,,,,
2871,Ubique Chain Of Things,UCT,2018-08-08T00:00:00.000Z,579,True,0.18398945357951377,,,,
2872,EnergiToken,ETK,2018-06-26T00:00:00.000Z,940,True,0.03689675926819768,,,,
2873,Metronome,MET,2018-06-26T00:00:00.000Z,4906,True,1.5701233841408777,,,,
2874,Aurora,AOA,2018-06-26T00:00:00.000Z,14019,True,0.11256875301923461,,,,
2875,ALAX,ALX,2018-06-26T00:00:00.000Z,253,True,0.02327889429595427,,,,
2876,Ternio,TERN,2018-06-26T00:00:00.000Z,2958,True,0.34665087530288835,,,,
2877,Bodhi [ETH],BOE,2018-06-27T00:00:00.000Z,22,True,,,,,
2878,DigiFinexToken,DFT,2018-06-27T00:00:00.000Z,650,True,0.359021745400543,,,,
2879,Origin Sport,ORS,2018-06-27T00:00:00.000Z,1024,True,0.08542022870302671,,,,
2880,Rate3,RTE,2018-06-27T00:00:00.000Z,1301,True,0.10237460592367317,,,,
2881,Distributed Credit Chain,DCC,2018-06-28T00:00:00.000Z,60,True,,,,,
2882,0Chain,ZCN,2018-07-02T00:00:00.000Z,9247,True,3.6005979896909386,,,,
2883,ZINC,ZINC,2018-07-03T00:00:00.000Z,846,True,0.23782759657417987,,,,
2884,FSBT API Token,FSBT,2018-07-05T00:00:00.000Z,844,True,0.14693999358559584,,,,
2885,Egretia,EGT,2018-07-02T00:00:00.000Z,6424,True,0.7284250820462024,,,,
2886,TaTaTu,TTU,2018-07-02T00:00:00.000Z,46,True,,,,,
2887,Dorado,DOR,2018-07-02T00:00:00.000Z,60,True,,,,,
2888,CarBlock,CAR,2018-07-03T00:00:00.000Z,105,True,,,,,
2889,Bob's Repair,BOB,2018-07-03T00:00:00.000Z,1645,True,0.26879079428444036,,,,
2890,KanadeCoin,KNDC,2018-07-03T00:00:00.000Z,1743,True,1.0333638549736093,,,,
2891,Cardstack,CARD,2018-07-03T00:00:00.000Z,5066,True,2.6513933324359424,,,,
2892,Wowbit,WWB,2018-07-03T00:00:00.000Z,1059,True,0.3887112119770515,,,,
2893,On.Live,ONL,2018-07-05T00:00:00.000Z,351,True,0.422672839065077,,,,
2894,OTCBTC Token,OTB,2018-07-03T00:00:00.000Z,322,True,0.12844934234942787,,,,
2895,Coni,CONI,2018-07-06T00:00:00.000Z,380,True,0.7348017272698929,,,,
2896,Hifi Finance,MFT,2018-07-05T00:00:00.000Z,20298,True,1.4603899362818855,,,,
2897,Clipper Coin,CCC,2018-07-05T00:00:00.000Z,495,True,,,,,
2898,GoNetwork,GOT,2018-07-05T00:00:00.000Z,2011,True,0.01721438096031345,,,,
2899,Thrive Token,THRT,2018-07-05T00:00:00.000Z,597,True,0.24831995838456764,,,,
2900,Project Pai,PAI,2018-07-05T00:00:00.000Z,4529,True,0.058787794621265384,,,,
2901,FansTime,FTI,2018-07-06T00:00:00.000Z,1720,True,0.10745799159632184,,,,
2902,POPCHAIN,PCH,2018-07-06T00:00:00.000Z,857,True,0.03107329481493732,,,,
2903,SEER,SEER,2018-07-06T00:00:00.000Z,119,True,0.01102507277928068,,,,
2904,FToken,FT,2018-07-06T00:00:00.000Z,195,True,,,,,
2905,Qurito,QURO,2018-08-08T00:00:00.000Z,61,True,,,,,
2906,Essentia,ESS,2018-07-06T00:00:00.000Z,6195,True,0.471146774157113,,,,
2907,Karatgold Coin,KBC,2018-07-06T00:00:00.000Z,7444,True,0.15384951305776154,,,,
2908,HashCoin,HSC,2018-07-09T00:00:00.000Z,3261,True,0.0626666313127729,,,,
2909,LikeCoin,LIKE,2018-07-10T00:00:00.000Z,2345,True,3.0437882673298056,,,,
2910,Crowdholding,YUP,2018-07-10T00:00:00.000Z,142,True,,,,,
2911,ORS Group,ORS,2018-07-10T00:00:00.000Z,249,True,0.22295761172833056,,,,
2912,TENT,TENT,2018-07-10T00:00:00.000Z,1394,True,0.9942359777465571,,,,
2913,Databroker,DTX,2018-07-10T00:00:00.000Z,912,True,2.333846604202199,,,,
2914,BeeKan,BKBT,2018-07-10T00:00:00.000Z,495,True,0.5219630980336996,,,,
2915,Moss Coin,MOC,2018-07-10T00:00:00.000Z,2112,True,2.4128597894853034,,,,
2916,Nimiq,NIM,2018-07-10T00:00:00.000Z,22598,True,4.831509164790593,,,,
2917,Saifu,SFU,2018-07-10T00:00:00.000Z,32,True,,,,,
2918,BitZ Token,BZ,2018-07-11T00:00:00.000Z,2221,True,1.8272018610221334,,,,
2919,DWS,DWS,2018-07-12T00:00:00.000Z,1211,True,0.023205613306518692,,,,
2920,0xcert,ZXC,2018-07-12T00:00:00.000Z,2016,True,0.2665099132508859,,,,
2921,OneLedger,OLT,2018-07-12T00:00:00.000Z,4542,True,0.7499854267444513,,,,
2922,Atonomi,ATMI,2018-07-12T00:00:00.000Z,489,True,0.007544902203925714,,,,
2923,XMCT,XMCT,2018-07-15T00:00:00.000Z,447,True,0.008089835601209426,,,,
2924,FNKOS,FNKOS,2018-07-30T00:00:00.000Z,254,True,0.16365252065578847,,,,
2925,RECORD,RCD,2018-07-15T00:00:00.000Z,3,True,,,,,
2926,PRASM,PSM,2018-07-30T00:00:00.000Z,212,True,0.002752710600683526,,,,
2927,sUSD,SUSD,2018-07-13T00:00:00.000Z,3363,True,1.0154448756655545,,,,
2928,PlayCoin [QRC20],PLY,2018-07-15T00:00:00.000Z,217,True,,,,,
2929,Truegame,TGAME,2018-07-17T00:00:00.000Z,960,True,0.113681134009215,,,,
2930,Everipedia,IQ,2018-10-03T00:00:00.000Z,14941,True,0.8879811169378447,,,,
2931,Engagement Token,ENGT,2018-07-17T00:00:00.000Z,76,True,,,,,
2932,No BS Crypto,NOBS,2018-07-15T00:00:00.000Z,519,True,0.07749431597191696,,,,
2933,BitMart Token,BMX,2018-07-13T00:00:00.000Z,5243,True,3.007268284869074,,,,
2934,BitKan,KAN,2018-07-30T00:00:00.000Z,3136,True,0.7138303166338283,,,,
2935,CDMCOIN,CDM,2018-07-30T00:00:00.000Z,89,True,,,,,
2936,MTC Mesh Network,MTC,2018-07-23T00:00:00.000Z,315,True,0.04728359778340837,,,,
2937,VITE,VITE,2018-07-17T00:00:00.000Z,14944,True,1.8979976841100432,,,,
2938,Hashgard,GARD,2018-07-17T00:00:00.000Z,5970,True,1.4297759343506002,,,,
2939,Data Transaction Token,XD,2018-07-17T00:00:00.000Z,164,True,,,,,
2940,Sp8de,SPX,2018-07-17T00:00:00.000Z,265,True,,,,,
2941,CoinEx Token,CET,2018-07-17T00:00:00.000Z,10243,True,2.500647482662582,,,,
2942,Aegeus,AEG,2018-07-17T00:00:00.000Z,88,True,,,,,
2943,Rocket Pool,RPL,2018-07-17T00:00:00.000Z,9793,True,21.820199275238178,,,,
2944,Elysian,ELY,2018-07-19T00:00:00.000Z,1931,True,0.3007457019652071,,,,
2945,ContentBox,BOX,2018-07-19T00:00:00.000Z,1397,True,0.13240457638129755,,,,
2946,Proton Token,PTT,2018-07-19T00:00:00.000Z,1436,True,0.03385893244654676,,,,
2947,SoPay,SOP,2018-07-18T00:00:00.000Z,741,True,0.008513253572905128,,,,
2948,Jury.Online Token,JOT,2018-07-19T00:00:00.000Z,52,True,,,,,
2949,Kryll,KRL,2018-07-19T00:00:00.000Z,2909,True,5.269455250410064,,,,
2950,LemoChain,LEMO,2018-07-19T00:00:00.000Z,1263,True,0.18142363973724174,,,,
2951,EDU Token,EDU,2018-07-23T00:00:00.000Z,3,True,,,,,
2952,Gold Bits Coin,GBC,2018-07-23T00:00:00.000Z,122,True,,,,,
2953,Blue Whale EXchange,BWX,2018-07-23T00:00:00.000Z,2304,True,82.90305569875487,,,,
2954,wys Token,WYS,2018-07-23T00:00:00.000Z,106,True,,,,,
2955,Cosmo Coin,COSM,2018-07-23T00:00:00.000Z,2657,True,0.051029154435884364,,,,
2956,Narrative,NRVE,2018-07-23T00:00:00.000Z,421,True,0.042751973762310436,,,,
2957,Olive,OLE,2018-07-23T00:00:00.000Z,903,True,3.0620100571364155,,,,
2958,TurtleCoin,TRTL,2018-07-23T00:00:00.000Z,17402,True,4.396008901405263,,,,
2959,WeToken,WT,2018-07-23T00:00:00.000Z,132,True,,,,,
2960,Tourist Token,TOTO,2018-07-25T00:00:00.000Z,1704,True,0.221072517982676,,,,
2961,Relex,RLX,2018-07-25T00:00:00.000Z,424,True,,,,,
2962,CHEX,CHEX,2018-07-25T00:00:00.000Z,71,True,,,,,
2963,View,VIEW,2018-07-25T00:00:00.000Z,649,True,0.17010383656335584,,,,
2964,ValueCyberToken,VCT,2018-07-25T00:00:00.000Z,17,True,,,,,
2965,VikkyToken,VIKKY,2018-07-25T00:00:00.000Z,1337,True,1.5241503081785377,,,,
2966,Fox Trading,FOXT,2018-07-25T00:00:00.000Z,1882,True,0.30518100924504427,,,,
2967,AB-Chain RTB,RTB,2018-07-25T00:00:00.000Z,9,True,,,,,
2968,Bridge Protocol,BRDG,2018-07-25T00:00:00.000Z,2030,True,0.9964379206952733,,,,
2969,Globalvillage Ecosystem,GVE,2018-07-25T00:00:00.000Z,644,True,0.07750120806580978,,,,
2970,LocalCoinSwap,LCS,2018-07-25T00:00:00.000Z,1220,True,0.18086500476125514,,,,
2972,ZPER,ZPR,2018-07-25T00:00:00.000Z,1866,True,0.1356649723341794,,,,
2973,empowr coin,EMPR,2018-07-25T00:00:00.000Z,226,True,,,,,
2974,Lightpaycoin,LPC,2018-07-25T00:00:00.000Z,140,True,,,,,
2975,FundToken,FUNDZ,2018-07-27T00:00:00.000Z,42,True,,,,,
2976,Ryo Currency,RYO,2018-07-27T00:00:00.000Z,3864,True,0.21642278479061444,,,,
2977,BitRewards,BIT,2018-07-25T00:00:00.000Z,843,True,0.11529447381230175,,,,
2978,AceD,ACED,2018-07-30T00:00:00.000Z,3123,True,0.04581576175043904,,,,
2979,Linfinity,LFC,2018-07-27T00:00:00.000Z,759,True,0.0017034785856203914,,,,
2980,WABnetwork,WAB,2018-07-27T00:00:00.000Z,1546,True,0.007763735280339844,,,,
2981,Consentium,CSM,2018-07-27T00:00:00.000Z,901,True,0.001160707187065034,,,,
2982,MVL,MVL,2018-07-27T00:00:00.000Z,8259,True,6.382197388069487,,,,
2983,AdultChain,XXX,2018-07-27T00:00:00.000Z,235,True,,,,,
2984,Newton Coin Project,NCP,2018-07-27T00:00:00.000Z,828,True,46.65759954757837,,,,
2985,ARBITRAGE,ARB,2018-07-27T00:00:00.000Z,314,True,,,,,
2986,DACC,DACC,2018-07-27T00:00:00.000Z,3506,True,0.19353992614689206,,,,
2987,ThingsOperatingSystem,TOS,2018-07-27T00:00:00.000Z,673,True,0.05753165448262608,,,,
2988,Pigeoncoin,PGN,2018-07-30T00:00:00.000Z,3598,True,1.5758167266829308,,,,
2989,STASIS EURO,EURS,2018-07-30T00:00:00.000Z,4600,True,1.0511428108645626,,,,
2990,EXMR FDN,EXMR,2018-08-01T00:00:00.000Z,1739,True,0.6623891606377853,,,,
2991,NIX,NIX,2018-07-28T00:00:00.000Z,2919,True,0.8319378068593322,,,,
2992,Apollo Currency,APL,2018-07-28T00:00:00.000Z,15974,True,1.9570409589973208,,,,
2993,HorusPay,HORUS,2018-07-30T00:00:00.000Z,1256,True,0.1452425240108338,,,,
2994,Bitcoin File,BIFI,2018-07-28T00:00:00.000Z,2271,True,0.2976814783478577,,,,
2995,Wavebase,PWV,2018-07-28T00:00:00.000Z,5,True,,,,,
2996,Bitcoin W Spectrum,BWS,2018-08-14T00:00:00.000Z,82,True,,,,,
2997,DIPNET,DPN,2018-07-31T00:00:00.000Z,86,True,,,,,
2998,Vexanium,VEX,2018-07-31T00:00:00.000Z,2792,True,0.35678290477408003,,,,
2999,Hdac,HDAC,2018-08-01T00:00:00.000Z,946,True,0.8813804978682298,,,,
3000,New Power Coin,NPW,2018-08-01T00:00:00.000Z,18,True,,,,,
3001,KWHCoin,KWH,2018-08-01T00:00:00.000Z,751,True,0.0018108363837643527,,,,
3002,Master Contract Token,MCT,2018-07-31T00:00:00.000Z,2288,True,0.23428829273922974,,,,
3003,White Standard,WSD,2018-07-31T00:00:00.000Z,52,True,,,,,
3004,Volt,ACDC,2018-07-31T00:00:00.000Z,706,True,0.14863714006606718,,,,
3006,Niobio,NBR,2018-07-31T00:00:00.000Z,2267,True,249.51487773313798,,,,
3007,Haracoin,HRC,2018-08-01T00:00:00.000Z,27,True,,,,,
3008,Vivid Coin,VIVID,2018-08-01T00:00:00.000Z,807,True,0.017819372168915153,,,,
3009,Purex,PUREX,2018-07-31T00:00:00.000Z,41,True,,,,,
3010,Coinsuper Ecosystem Network,CEN,2018-07-30T00:00:00.000Z,1176,True,0.06920837646078207,,,,
3011,BitScreener Token,BITX,2018-07-31T00:00:00.000Z,731,True,1.1828165652815186,,,,
