Timestamp,Price,Volume,FullyDilluted,CirculatingSupply
1399420800,4.395500127429841e-06,32.03919982910156,306426.959233,698.323003446654
1399507200,4.401600108394632e-06,50.786399841308594,310068.614726,704.445217853036
1399593600,4.500900104176253e-06,80.02529907226562,320264.301684,712.552299058532
1399680000,4.5472997953766026e-06,7.871560096740723,326791.937718,719.153578585022
1399766400,4.389100013213465e-06,687.2239990234375,318540.337293,725.825773775174
1399852800,4.407900178193813e-06,11.171299934387207,323054.117037,731.798640670717
1399939200,4.407600044942228e-06,6.081729888916016,326233.81525,740.310052377556
1400025600,4.440999873622786e-06,8.232150077819824,331876.786651,747.526140810678
1400112000,4.4717999116983265e-06,22.708599090576172,336551.231703,752.45746254525
1400198400,4.485500085138483e-06,0.008971099741756916,339187.004948,757.017287277478
1400284800,4.485899808059912e-06,24.629100799560547,340820.699355,759.22811350695
1400371200,4.460399850358954e-06,0.05854770168662071,340459.374005,762.911747229596
1400457600,4.4601001718547195e-06,20.167800903320312,342099.207335,766.71454558354
1400544000,4.858599822910037e-06,0.08232949674129486,374375.326228,770.772758563125
1400630400,4.915400040772511e-06,0.22883599996566772,380473.132869,773.656046604906
1400716800,5.239100119069917e-06,6.034480094909668,407368.875089,776.544227644212
1400803200,5.207400135986973e-06,0.0908173993229866,406763.830857,781.90763923442
1400889600,5.251699803920928e-06,0.026258500292897224,412060.827437,784.702189588346
1400976000,5.7063998610829e-06,0.509423017501831,449865.582628,787.01251589528
1401062400,5.83180008106865e-06,0.14807699620723724,461839.349403,791.615980050268
1401148800,5.7642000683699735e-06,0.00206936988979578,458272.653848,802.267321593486
1401235200,5.765200057794573e-06,2.0178399085998535,460729.026747,798.436075085688
1401321600,5.671499820891768e-06,0.5671600103378296,455032.335372,800.869772569105
1401408000,6.153699814603897e-06,1.230739951133728,496215.3126,806.449695439367
1401494400,6.2466001509164926e-06,0.32773301005363464,505985.688365,811.313759841068
1401580800,6.458700227085501e-06,0.3388569951057434,525088.479009,833.156292084556
1401753600,6.67589984004735e-06,66.76830291748047,547905.02878,820.720864464189
1401840000,6.4149999161600135e-06,0.7056540250778198,528708.736492,824.010914502273
1401926400,6.424500043067383e-06,0.706695020198822,529531.122942,803.21904560312
1402012800,6.542099981743377e-06,0.0786558985710144,543923.014423,832.084734800208
1402099200,6.535100055771181e-06,0.06548210233449936,545375.42473,832.696659808643
1402185600,6.5628000811557285e-06,1.9500000476837158,550352.569025,838.761858858676
1402272000,6.493999990198063e-06,0.6494079828262329,546806.274327,842.354477459811
1402358400,6.5297999753966e-06,39.195499420166016,552238.274018,845.466330693022
1402444800,6.338500043057138e-06,63.62710189819336,538269.681095,850.31068552375
1402531200,5.902500106458319e-06,0.37293100357055664,503334.531932,857.523415809858
1402617600,5.995500032440759e-06,1.506719946861267,513447.519793,855.531764653152
1402704000,5.98660017203656e-06,0.0029933000914752483,512823.044907,888.227374441771
1402876800,5.914700068387901e-06,0.5194349884986877,512901.488809,866.123389350589
1402963200,6.108799880166771e-06,1.2679500579833984,531963.171045,870.814532281711
1403049600,6.076899808249436e-06,0.17622999846935272,531391.659204,874.095540984959
1403136000,5.98619999436778e-06,0.005986209958791733,524876.292986,877.599616023472
1403222400,5.93210006627487e-06,0.00011864300176966935,521203.847474,877.210288943784
1403308800,5.961399892839836e-06,0.6004809737205505,524825.378421,882.04541901569
1403395200,6.024500180501491e-06,1.4056899547576904,531470.287184,882.446198592199
1403481600,5.938200047239661e-06,1.179550051689148,524921.18567,883.708371458843
1403568000,5.9331000556994695e-06,0.5933120250701904,525226.24786,901.890236632262
1403740800,5.8002001424029e-06,5.8002001424029e-06,515885.914969,887.737869537109
1403827200,5.972599865344819e-06,24.547399520874023,532278.197623,891.200163452218
1403913600,5.965399850538233e-06,29.743999481201172,532671.227473,892.93465789211
1404000000,6.022799880156526e-06,1.2654099464416504,538915.823773,894.166489693101
1404086400,6.395599939423846e-06,13.955599784851074,573427.965149,896.238975845912
1404172800,6.4027999542304315e-06,0.6019290089607239,575178.621085,897.60492643286
1404259200,6.510199909826042e-06,0.003401499940082431,585991.80421,900.29340218295
1404345600,6.449200100178132e-06,0.7094119787216187,581702.086204,901.614768246155
1404432000,6.306900104391389e-06,0.006306920200586319,570017.888403,903.800407439633
1404518400,6.323699835775187e-06,0.0063237398862838745,572494.487084,906.583162158645
1404777600,6.248099907679716e-06,1.3497000281859073e-06,569198.149544,910.993994901365
1404864000,6.236699846340343e-06,1.3472999853547662e-06,568785.992634,910.812745264472
1405036800,6.320000011328375e-06,0.25280100107192993,579212.20182,916.475001236997
1405123200,6.340399977489142e-06,0.25361698865890503,581256.486919,917.208878347068
1405468800,6.1679997997998726e-06,0.06168000027537346,568542.26908,921.761166559129
1405555200,6.230799954209942e-06,1.6859099864959717,574330.929018,921.761143414569
1405641600,6.287700216489611e-06,0.08194880187511444,579575.749885,921.761104902953
1405728000,6.285099971137242e-06,0.01485809963196516,585010.739635,930.789871794429
1405814400,6.247799774428131e-06,0.002274210099130869,582327.402976,933.356833435884
1405900800,6.2221001826401334e-06,0.34350401163101196,581396.337144,934.405297372285
1405987200,6.215499979589367e-06,0.0017465599812567234,581898.131628,936.204864514284
1406073600,3.1039999726090173e-07,19.29960060119629,29115.3564664,46.993536463873
1406160000,1.8990000683061226e-07,9.023880004882812,17831.5285709,29.672263431936
1406246400,5.067200163466623e-06,198.8780059814453,476261.741507,792.32837689153
1406332800,1.256300038221525e-06,165.43299865722656,118196.120814,198.420449902725
